origen,destino,peso_m
ESTACIONAMIENTO,BIBLIOTECA,84.7
BIBLIOTECA,ESTACIONAMIENTO,84.7
ESTACIONAMIENTO,EDIFICIO A,105.7
EDIFICIO A,ESTACIONAMIENTO,105.7
ESTACIONAMIENTO,EDIFICIO B,91.2
EDIFICIO B,ESTACIONAMIENTO,91.2
ESTACIONAMIENTO,CANCHA,218.9
CANCHA,ESTACIONAMIENTO,218.9
ESTACIONAMIENTO,EDIFICIO M,220.8
EDIFICIO M,ESTACIONAMIENTO,220.8
EDIFICIO B,EDIFICIO A,121.1
EDIFICIO A,EDIFICIO B,121.1
EDIFICIO B,BIBLIOTECA,147.1
BIBLIOTECA,EDIFICIO B,147.1
EDIFICIO A,BIBLIOTECA,64.9
BIBLIOTECA,EDIFICIO A,64.9
EDIFICIO A,CAFETERIA,71.8
CAFETERIA,EDIFICIO A,71.8
BIBLIOTECA,CAFETERIA,64.3
CAFETERIA,BIBLIOTECA,64.3
BIBLIOTECA,CANCHA,198.5
CANCHA,BIBLIOTECA,198.5
BIBLIOTECA,EDIFICIO M,152.3
EDIFICIO M,BIBLIOTECA,152.3
CAFETERIA,EDIFICIO M,141.9
EDIFICIO M,CAFETERIA,141.9
EDIFICIO M,CANCHA,135.7
CANCHA,EDIFICIO M,135.7
